CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9435276,2022,2022-04-29,0111,2022-03-14,2119,346,,1,5,5,0111,0,0,0,,0,004,"STONERIDGE DR","SANTA RITA RD",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,C,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,PLEASANTON,-121.87786102294922,37.687984466552734
9436096,2022,2022-05-03,0103,2022-03-10,1909,10,21,4,5,6,0103,0,0,0,,0,014,UNIVERSITY,6TH,0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.867988586425781,-122.29766082763672,ALAMEDA,BERKELEY,-122.29771423339844,37.867969512939453
9454383,2022,2022-11-15,0112,2022-06-30,1648,372,,4,5,5,0112,0,0,0,,0,003,"E 14TH ST","135TH AV",160.00,S,N,A,-,Y,ALA,4,185,-,-,4.750,H,-,S,Y,4,0,2,2,A,-,08,22107,,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,ALAMEDA,"SAN LEANDRO",-122.14376068115234,37.716014862060547
9456861,2022,2022-07-27,0109,2022-02-16,2124,9872,2,3,5,7,0109,0,0,0,,0,30X,"73RD AV","BANCROFT AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,2,2,A,-,12,21453,A,N,B,C,A,A,H,-,C,A,0,,,,,Y,,-,"- ",0,1,1,0,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.17720794677734,37.765819549560547
9467273,2022,2023-02-06,0102,2022-11-26,0955,DW190456,5,6,5,3,0102,0,0,0,,0,002,"SAN PABLO",MONROE,0.00,,Y,A,-,N,,,,,,,,,,N,3,0,3,3,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,A,08,0,3,0,0,0,0,0,0,0,"- ","- ",37.88446044921875,-122.29695892333984,ALAMEDA,ALBANY,-122.29714202880859,37.884635925292969
9471178,2023,2023-10-25,0109,2023-07-16,"221 ",9984,1,7,5,7,0109,0,0,0,,0,04X,"16TH ST","CLAY ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,2,3,A,-,12,21453,A,F,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,,
92224580,2023,2023-10-31,9390,2023-10-27,1359,021649,,5,1,6,0105,0,1,1,,2,064,"I-680 N/B","PASEO PADRE PARKWAY",207.00,N,N,A,-,Y,ALA,,680," ",M,5.720,H,,R,Y,4,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.533828735351562,-121.93621826171875,ALAMEDA,FREMONT,-121.93621826171875,37.533828735351562
92234574,2023,2023-11-13,9345,2023-11-04,1242,022943,,6,1,9,0100,0,2,S,,2,048,"PALOMARES RD","MILE MARKER 7.00",380.00,N,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,A,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.629909515380859,-121.94731903076172,ALAMEDA,UNINCORPORATED,,
92234705,2023,2023-11-13,9370,2023-11-01,1515,022848,,3,2,6,0103,0,1,1,,2,082,"I-80 E/B","BUCHANNAN STREET",750.00,W,N,A,-,Y,ALA,,80," ",R,7.062,H,,R,N,4,0,3,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",37.883998870849609,-122.30857849121094,ALAMEDA,BERKELEY,-122.30849456787109,37.884014129638672
92083804,2023,2023-06-01,9390,2023-05-26,1855,021964,,5,2,9,0100,0,1,1,,2,065,"I-680 N/B","ANDRADE RD",1480.00,S,N,A,-,Y,ALA,,680," ",R,9.425,H,,R,N,3,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.571781158447266,-121.8892822265625,ALAMEDA,UNINCORPORATED,-121.8892822265625,37.57177734375
92097851,2023,2023-06-20,9345,2023-06-07,"555 ",023233,,3,3,9,0100,0,1,1,,2,238,"I-238 N/B","E 14TH ST",1584.00,N,N,A,-,Y,ALA,,238," "," ",15.211,H,,R,Y,3,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,Y,Y,,G,27,0,1,1,0,0,0,0,0,0,"- ","- ",37.688720703125,-122.11102294921875,ALAMEDA,UNINCORPORATED,-122.11102294921875,37.688724517822266
92099361,2023,2023-06-22,9345,2023-06-09,"432 ",022885,,5,3,9,0100,0,2,S,,2,045,"CROW CANYON RD","10970 CROW CANYON ROAD",50.00,S,N,B,-,N,,,,,,,,,,Y,4,0,1,3,A,-,08,22107,,M,C,2,A,A,H,-,D,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.766948699951172,-122.01361083984375,ALAMEDA,UNINCORPORATED,-122.05457305908203,37.697338104248047
92131919,2023,2023-07-31,9390,2023-07-14,1628,021649,,5,2,5,0111,0,1,1,,2,066,"I-680 S/B","KOOPMANN ROAD",6970.00,N,N,A,-,Y,ALA,,680," ",R,13.790,H,,L,Y,4,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.619239807128906,-121.87886047363281,ALAMEDA,PLEASANTON,-121.87892913818359,37.619216918945312
92144354,2023,2023-08-15,9390,2023-08-02,"647 ",019587,,3,1,9,0100,0,1,1,,2,053,"I-580 EASTBOUND","GREENVILLE ROAD",2112.00,E,N,A,-,Y,ALA,,580," ",R,7.860,H,,L,Y,1,1,0,3,A,-,03,22350,,N,C,2,E,A,H,-,A,D,0,Y,,,Y,Y,,G,25,0,0,0,1,0,0,0,0,0,"- ","- ",37.719261169433594,-121.69300842285156,ALAMEDA,UNINCORPORATED,-121.69302368164062,37.719306945800781
