CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9403796,2022,2022-04-01,4313,2022-03-01,0926,5015,SJPD,2,5,7,4313,0,0,0,,0,0L5,"E VIRGINIA ST","S 1ST ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,D,-,00,,,N,H,G,A,A,H,-,A,A,0,,Y,,,Y,,-,"- ",0,0,1,0,0,0,1,0,0,"- ","- ",,,"SANTA CLARA","SAN JOSE",-121.88155364990234,37.324054718017578
9405297,2022,2022-03-23,4313,2022-01-07,0555,4918,SAM,5,5,7,4313,0,0,0,,0,0S3,"BIRD AV","WILLOW AV",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21800,A,N,B,C,A,B,H,-,C,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","SAN JOSE",-121.89585876464844,37.311084747314453
9406433,2022,2022-02-23,4313,2022-02-06,1606,4636,CENTR,7,5,7,4313,0,0,0,,0,0R2,"RINGWOOD AV","TRADE ZONE BL",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,03,22350,,N,A,I,A,A,H,-,A,A,0,,,,,Y,,-,,0,1,0,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","SAN JOSE",-121.89580535888672,37.403675079345703
9429563,2022,2022-04-15,4313,2022-03-04,0049,5036,MARY,5,5,7,4313,0,0,0,,0,0M1,"MCKEE RD","RT 101",0.00,,Y,A,-,Y,SCL,4,101,-,R,36.223,R,4,N,Y,4,0,1,1,A,-,03,22350,,N,A,I,A,A,H,-,C,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ",NO,,,"SANTA CLARA","SAN JOSE",-121.86704254150391,37.355121612548828
9443490,2022,2022-05-12,4313,2022-04-18,1603,4964,LINCO,1,5,7,4313,0,0,0,,0,0L1,"S 7TH ST","E ALMA AV",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","SAN JOSE",-121.86872100830078,37.318382263183594
9450909,2022,2022-11-01,4313,2022-05-17,2303,4830,CENTR,2,5,7,4313,0,0,0,,0,0V3,"N 10TH ST","N 10TH ST 527",0.00,,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,00,20001,,F,A,C,A,A,H,-,C,A,0,,,,,Y,,-,,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SANTA CLARA","SAN JOSE",-121.88104248046875,37.340713500976562
92120620,2023,2023-07-19,9340,2023-07-08,"2   ",023174,,6,3,7,4313,0,1,2,,2,120,"US-101 N/B TO BROKAW ROAD","BROKAW RD",690.00,S,N,A,-,Y,,,,,,,,,,N,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.372108459472656,-121.91574859619141,"SANTA CLARA","SAN JOSE",-121.91574859619141,37.372108459472656
92151064,2023,2023-08-23,9340,2023-08-11,"911 ",022968,,5,1,7,4313,0,1,2,,2,120,"US-101 S/B FROM N. MATHILDA AVE.","MATHILDA AVE",263.00,S,N,A,-,Y,SCL,,101," "," ",45.624,H,,L,N,3,0,1,2,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",37.398540496826172,-122.02680969238281,"SANTA CLARA","SAN JOSE",-122.02678680419922,37.398616790771484
92157278,2023,2023-08-29,9340,2023-08-21,1815,021032,,1,2,7,4313,0,1,1,,2,282,"I-280 S/B","SAN TOMAS EXPRESSWAY",190.00,N,N,B,-,Y,SCL,,280," "," ",5.389,H,,L,Y,4,0,1,4,A,-,07,21658,A,F,B,C,A,A,H,-,A,D,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",37.316349029541016,-121.96497344970703,"SANTA CLARA","SAN JOSE",-121.96497344970703,37.316368103027344
92171026,2023,2023-09-15,9340,2023-09-06,1815,021032,,3,2,7,4313,0,1,1,,2,282,"I-280 N/B","SAN TOMAS EXPRESSWAY",620.00,N,N,A,-,Y,SCL,,280," "," ",5.474,H,,R,Y,3,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,1,0,0,0,0,0,0,"- ","- ",37.316570281982422,-121.96649932861328,"SANTA CLARA","SAN JOSE",-121.96649932861328,37.316505432128906
92179579,2023,2023-09-26,9330,2023-09-15,"645 ",023149,,5,1,5,4311,0,1,2,,2,078,"US-101 N/B","MOFFETT BLVD",1500.00,S,N,B,-,Y,SCL,,101," "," ",47.597,H,,R,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",37.406600952148438,-122.06120300292969,"SANTA CLARA","MOUNTAIN VIEW",-122.06119537353516,37.406608581542969
92225286,2023,2023-11-01,9725,2023-10-25,1740,020120,,3,2,9,4300,0,1,3,,1,170,"SR-152 E/B","DINOSAUR POINT RD.",12672.00,W,N,A,-,Y,SCL,,152," "," ",32.372,H,,R,Y,4,0,2,4,A,-,07,21658,A,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.049301147460938,-121.25753784179688,"SANTA CLARA",UNINCORPORATED,-121.25754547119141,37.049304962158203
91947197,2022,2022-12-20,9725,2022-12-10,0845,022704,,6,1,7,4313,0,1,3,,2,085,"SR-85 S/B","VIA DEL ORO",845.00,N,N,C,-,Y,SCL,,85,,,1.286,H,,L,Y,4,0,1,1,A,-,03,22350,,N,F,A,A,B,H,-,A,D,0,,,,,Y,,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",37.239528656005859,-121.79231262207031,"SANTA CLARA","SAN JOSE",-121.792236328125,37.239738464355469
91985944,2023,2023-02-03,9340,2023-01-24,"820 ",020591,,2,1,6,4316,0,1,3,,2,085,"SR-85 N/B","FREMONT AVE",1450.00,S,N,A,-,Y,SCL,,85," ",R,19.453,H,,R,Y,3,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,Y,Y,,F,27,0,1,1,0,0,0,0,0,0,"- ","- ",37.346038818359375,-122.05980682373047,"SANTA CLARA",SUNNYVALE,-122.05976104736328,37.346038818359375
