CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8167836,2019,2020-01-10,0103,2019-06-29,1109,45,,6,5,6,0103,0,0,0,,0,008,"RT 13","DEAKIN ST",0.00,,Y,A,-,Y,ALA,4,13,-,-,11.770,I,5,S,Y,3,0,3,2,A,-,08,22107,,N,D,C,A,-,H,-,A,D,0,,,,,Y,,A,01,0,3,0,0,0,0,0,0,0,"- ","- ",37.855838775634766,-122.26241302490234,ALAMEDA,BERKELEY,-122.26245880126953,37.855796813964844
8167848,2019,2020-03-04,0103,2019-06-19,2220,155,,3,5,6,0103,0,0,0,,0,012,"SAN PABLO","PARKER ST",0.00,,Y,A,-,Y,ALA,4,123,-,-,2.450,I,5,N,N,3,0,1,2,A,-,05,21650,1,N,D,G,A,A,H,-,C,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",37.859111785888672,-122.28932952880859,ALAMEDA,BERKELEY,-122.28900146484375,37.859458923339844
8167852,2019,2020-01-08,0103,2019-06-23,1805,108,40,7,5,6,0103,0,0,0,,0,013,"SAN PABLO","CHANNING WY",144.00,N,N,A,-,Y,ALA,4,123,-,-,2.730,H,-,N,N,3,0,1,2,A,-,03,22350,,F,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,ALAMEDA,BERKELEY,-122.29026794433594,37.863395690917969
8167864,2019,2019-10-10,0103,2019-06-23,2329,94,24,7,5,6,0103,0,0,0,,0,004,"SHATTUCK AV",UNIVERSITY,0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,03,22350,,F,C,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.872150421142578,-122.26840972900391,ALAMEDA,BERKELEY,-122.26838684082031,37.872200012207031
8465866,2019,2019-06-21,0109,2019-02-22,1433,8610,2,5,5,7,0109,0,0,0,,0,25X,"ALISO AV","39TH AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,0,2,A,-,03,22350,,N,E,I,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,0,0,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.18508911132812,37.797760009765625
8778234,2019,2019-02-06,0109,2019-01-02,1153,8681,2,3,5,7,0109,0,0,0,,0,33X,"SAN LEANDRO ST","81ST AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,08,22107,,N,H,J,A,A,A,-,A,A,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",,,ALAMEDA,OAKLAND,-122.19235992431641,37.749759674072266
8791719,2019,2019-05-29,0109,2019-01-25,1111,8610,2,5,5,7,0109,0,0,0,,0,32Y,"BANCROFT AV","DURANT AV",0.00,,Y,A,-,N,,,,,,,,,,Y,1,1,2,3,A,-,12,22450,A,N,D,C,A,A,H,-,A,A,0,,,,Y,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.15509033203125,37.739089965820312
8799457,2019,2019-02-22,0109,2019-01-05,1345,9670,2,6,5,7,0109,0,0,0,,0,24X,"FOOTHILL BL","HARRINGTON AV",50.00,W,N,B,C,N,,,,,,,,,,N,3,0,1,5,A,-,01,23152,A,N,B,C,A,B,H,-,A,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.2177734375,37.779987335205078
8799822,2021,2022-09-26,0109,2021-08-27,0001,8881,1,5,5,7,0109,0,0,0,,0,19X,"INTERNATIONAL BL","17TH AV",9.00,E,N,A,-,N,,,,,,,,,,N,2,0,2,2,A,-,17,21655,,N,D,C,A,A,H,-,C,A,0,,,Y,,Y,Y,C,02,1,0,1,0,0,0,0,0,1,"- ","- ",,,ALAMEDA,OAKLAND,-122.24309539794922,37.787704467773438
8799826,2021,2022-09-26,0109,2021-10-28,2103,8483,1,4,5,7,0109,0,0,0,,0,03X,"7TH ST","MADISON AV",21.00,E,N,-,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21453,D,N,G,B,D,A,-,-,C,A,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,ALAMEDA,OAKLAND,-122.26698303222656,37.796684265136719
