CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
9348929,2022,2022-10-31,3801,2022-05-17,1605,1389,BAYVI,2,5,7,3801,0,0,0,,0,3C12D,"INDUSTRIAL ST","BARNEVELD AV",0.00,,Y,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.40430450439453,37.738735198974609
9403931,2022,2022-03-17,3801,2022-02-15,1738,426,NORTH,2,5,7,3801,0,0,0,,0,3E13D,"POLK ST","AUSTIN ST",55.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,00,21294,C,N,B,C,A,A,H,-,A,D,0,,,,,Y,,M,93,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.42036437988281,37.78900146484375
9410112,2022,2022-03-14,3801,2022-01-28,0833,311,PARK,5,5,7,3801,0,0,0,,0,3F13A,MCALLISTER,"MCALLISTER 1833",0.00,,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,09,21806,,F,G,B,E,A,H,-,A,A,0,Y,,,,Y,,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",,
9434242,2022,2022-04-19,3801,2022-03-22,1614,2359,TENDE,2,5,7,3801,0,0,0,,0,0J5,"ELLIS ST","LEAVENWORTH ST",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,00,20002,,M,H,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41442108154297,37.784671783447266
9446861,2022,2022-06-15,3801,2022-05-05,1237,2017,MISSI,4,5,7,3801,0,0,0,,0,3D1C,"TREAT AV","23RD ST",3.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,11,21955,,N,G,B,E,A,H,-,A,A,0,Y,,,,Y,,N,60,0,0,1,0,1,0,0,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.41311645507812,37.754161834716797
9468620,2023,2023-09-22,3801,2023-08-20,1144,4283,RICHM,7,5,7,3801,0,0,0,,0,2CAR,"ARGUELLO BL","PRESIDIO TER",150.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,G,A,A,H,-,A,-,0,,Y,,,Y,,A,07,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN FRANCISCO","SAN FRANCISCO",-122.45935821533203,37.787929534912109
92185678,2023,2023-10-02,9335,2023-09-20,"935 ",023464,,3,1,7,3801,0,1,2,,2,013,"US-101 SOUTHBOUND","OF BAYSHORE BLVD OVERCROSSING",895.00,N,N,A,-,Y,SF,,101," "," ",0.736,H,,L,Y,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,1,0,0,0,0,0,0,0,"- ","- ",37.718219757080078,-122.39955902099609,"SAN FRANCISCO","SAN FRANCISCO",-122.39950561523438,37.718231201171875
91769406,2022,2022-05-11,9335,2022-05-03,0210,019999,,2,3,7,3801,0,1,2,,2,013,"US-101 SB TO PAUL AVE.","SAN BRUNO AVE",15.00,E,N,A,-,Y,SF,,101,,,1.041,H,,L,Y,4,0,1,1,A,-,01,23152,A,M,A,I,A,C,H,-,D,D,0,,,,,Y,Y,A,07,0,0,1,0,0,0,0,0,0,"- ","- ",37.722518920898438,-122.40116119384766,"SAN FRANCISCO","SAN FRANCISCO",-122.40089416503906,37.722587585449219
91824564,2022,2022-07-25,9335,2022-07-18,0228,022667,,1,3,7,3801,0,1,1,,1,083,"I-80 E/B","SPEAR ST U/C",3150.00,E,N,A,-,Y,SF,,80,,,6.450,H,,R,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.794658660888672,-122.38126373291016,"SAN FRANCISCO","SAN FRANCISCO",-122.38141632080078,37.794769287109375
91936270,2022,2022-12-07,9335,2022-11-24,1335,020991,,4,1,7,3801,0,1,2,,2,015,"US-101 S/B","HARRISON ST.",533.00,S,N,A,-,Y,SF,,101,,R,4.754,H,,L,Y,2,0,5,4,A,-,01,23152,A,N,C,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,1,0,4,0,0,0,0,0,0,"- ","- ",37.769428253173828,-122.41139221191406,"SAN FRANCISCO","SAN FRANCISCO",-122.41139221191406,37.769386291503906
